N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH	CT_HtD
1	1	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	1	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
4	1	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
8	1	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
16	1	5.960464e-06	0.000000e+00	1.597404e-05	1.907349e-06
32	1	5.960464e-06	0.000000e+00	1.597404e-05	1.192093e-06
64	1	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
128	1	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
256	1	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
512	1	5.960464e-06	9.536743e-07	1.502037e-05	1.907349e-06
1024	1	5.960464e-06	9.536743e-07	1.597404e-05	1.907349e-06
2048	1	3.814697e-06	3.099442e-06	1.692772e-05	2.861023e-06
4096	1	5.960464e-06	5.960464e-06	2.288818e-05	4.053116e-06
8192	1	5.960464e-06	1.287460e-05	3.004074e-05	7.867813e-06
1	2	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	2	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	2	5.006790e-06	0.000000e+00	1.692772e-05	1.192093e-06
8	2	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
16	2	5.006790e-06	0.000000e+00	1.907349e-05	9.536743e-07
32	2	5.006790e-06	0.000000e+00	1.597404e-05	1.192093e-06
64	2	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
128	2	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
256	2	5.960464e-06	9.536743e-07	1.502037e-05	9.536743e-07
512	2	5.006790e-06	1.907349e-06	1.597404e-05	1.907349e-06
1024	2	4.053116e-06	2.861023e-06	1.597404e-05	2.861023e-06
2048	2	5.006790e-06	5.960464e-06	2.193451e-05	5.006790e-06
4096	2	5.006790e-06	1.406670e-05	2.884865e-05	7.867813e-06
8192	2	5.960464e-06	2.980232e-05	4.887581e-05	8.821487e-06
1	4	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
2	4	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	4	1.907349e-06	0.000000e+00	1.382828e-05	1.907349e-06
8	4	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
16	4	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
32	4	5.006790e-06	0.000000e+00	1.597404e-05	1.907349e-06
64	4	5.960464e-06	0.000000e+00	1.478195e-05	9.536743e-07
128	4	5.960464e-06	9.536743e-07	1.502037e-05	1.907349e-06
256	4	5.006790e-06	9.536743e-07	1.597404e-05	1.907349e-06
512	4	5.960464e-06	2.861023e-06	1.788139e-05	3.099442e-06
1024	4	5.960464e-06	5.006790e-06	2.193451e-05	5.006790e-06
2048	4	5.960464e-06	1.096725e-05	3.099442e-05	7.867813e-06
4096	4	5.960464e-06	2.193451e-05	4.792213e-05	8.821487e-06
8192	4	5.960464e-06	4.506111e-05	8.106232e-05	1.597404e-05
1	8	5.006790e-06	0.000000e+00	1.597404e-05	1.192093e-06
2	8	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	8	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
8	8	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
16	8	5.960464e-06	0.000000e+00	1.597404e-05	1.192093e-06
32	8	5.006790e-06	0.000000e+00	1.597404e-05	1.907349e-06
64	8	5.960464e-06	9.536743e-07	1.502037e-05	1.907349e-06
128	8	5.006790e-06	9.536743e-07	1.597404e-05	1.907349e-06
256	8	4.053116e-06	2.861023e-06	1.788139e-05	2.861023e-06
512	8	5.006790e-06	5.006790e-06	2.193451e-05	4.053116e-06
1024	8	5.960464e-06	1.001358e-05	3.004074e-05	7.152557e-06
2048	8	6.914139e-06	2.193451e-05	4.792213e-05	8.821487e-06
4096	8	6.198883e-06	4.291534e-05	8.106232e-05	1.502037e-05
8192	8	5.960464e-06	8.487701e-05	1.449585e-04	2.908707e-05
1	16	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
2	16	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	16	5.006790e-06	0.000000e+00	1.621246e-05	1.192093e-06
8	16	5.006790e-06	0.000000e+00	1.621246e-05	1.907349e-06
16	16	5.006790e-06	0.000000e+00	1.502037e-05	9.536743e-07
32	16	5.960464e-06	0.000000e+00	1.502037e-05	1.907349e-06
64	16	5.006790e-06	9.536743e-07	1.597404e-05	1.907349e-06
128	16	4.053116e-06	1.907349e-06	1.788139e-05	2.861023e-06
256	16	5.006790e-06	3.814697e-06	2.193451e-05	5.006790e-06
512	16	5.006790e-06	9.059906e-06	3.194809e-05	7.867813e-06
1024	16	7.152557e-06	2.098083e-05	4.887581e-05	8.821487e-06
2048	16	5.960464e-06	4.196167e-05	7.987022e-05	1.597404e-05
4096	16	5.960464e-06	7.605553e-05	1.459122e-04	2.884865e-05
8192	16	6.198883e-06	1.652241e-04	2.739429e-04	5.483627e-05
1	32	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
2	32	5.960464e-06	0.000000e+00	1.597404e-05	1.907349e-06
4	32	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
8	32	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
16	32	5.006790e-06	9.536743e-07	1.502037e-05	1.907349e-06
32	32	5.006790e-06	9.536743e-07	1.621246e-05	1.907349e-06
64	32	4.053116e-06	2.861023e-06	1.597404e-05	1.907349e-06
128	32	5.960464e-06	4.053116e-06	2.217293e-05	2.861023e-06
256	32	5.960464e-06	9.775162e-06	3.099442e-05	5.006790e-06
512	32	6.914139e-06	2.217293e-05	4.792213e-05	8.821487e-06
1024	32	5.960464e-06	4.291534e-05	8.201599e-05	1.597404e-05
2048	32	6.914139e-06	8.201599e-05	1.449585e-04	2.884865e-05
4096	32	6.198883e-06	1.640320e-04	2.720356e-04	5.602837e-05
8192	32	5.960464e-06	3.230572e-04	4.608631e-04	1.349449e-04
1	64	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	64	5.960464e-06	0.000000e+00	1.597404e-05	1.907349e-06
4	64	5.960464e-06	0.000000e+00	1.478195e-05	9.536743e-07
8	64	5.960464e-06	0.000000e+00	1.478195e-05	9.536743e-07
16	64	5.006790e-06	9.536743e-07	1.597404e-05	1.907349e-06
32	64	5.006790e-06	1.907349e-06	1.788139e-05	1.907349e-06
64	64	6.198883e-06	5.006790e-06	2.312660e-05	2.861023e-06
128	64	5.006790e-06	1.001358e-05	3.004074e-05	5.006790e-06
256	64	5.960464e-06	2.288818e-05	4.887581e-05	8.821487e-06
512	64	5.960464e-06	4.315376e-05	8.082390e-05	1.478195e-05
1024	64	6.198883e-06	8.511543e-05	1.459122e-04	2.908707e-05
2048	64	5.960464e-06	1.659393e-04	2.729893e-04	5.507469e-05
4096	64	5.960464e-06	3.340244e-04	4.570484e-04	1.358986e-04
8192	64	6.914139e-06	6.721020e-04	8.509159e-04	5.009174e-04
1	128	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	128	5.006790e-06	0.000000e+00	1.502037e-05	9.536743e-07
4	128	5.960464e-06	9.536743e-07	1.502037e-05	9.536743e-07
8	128	5.960464e-06	9.536743e-07	1.597404e-05	9.536743e-07
16	128	5.006790e-06	1.907349e-06	1.788139e-05	1.907349e-06
32	128	5.960464e-06	5.006790e-06	2.288818e-05	2.861023e-06
64	128	5.960464e-06	1.096725e-05	3.099442e-05	5.006790e-06
128	128	5.960464e-06	2.312660e-05	4.792213e-05	8.821487e-06
256	128	7.152557e-06	4.506111e-05	8.010864e-05	1.597404e-05
512	128	6.914139e-06	8.797646e-05	1.459122e-04	2.908707e-05
1024	128	6.198883e-06	1.678467e-04	2.729893e-04	5.602837e-05
2048	128	1.406670e-05	3.368855e-04	4.539490e-04	1.358986e-04
4096	128	5.960464e-06	6.980896e-04	8.389950e-04	4.889965e-04
8192	128	6.198883e-06	1.502991e-03	1.657963e-03	1.183987e-03
1	256	5.006790e-06	0.000000e+00	1.597404e-05	1.907349e-06
2	256	5.006790e-06	0.000000e+00	1.478195e-05	1.907349e-06
4	256	5.960464e-06	9.536743e-07	1.597404e-05	1.907349e-06
8	256	5.006790e-06	2.145767e-06	1.788139e-05	1.907349e-06
16	256	5.006790e-06	4.053116e-06	2.217293e-05	2.861023e-06
32	256	5.006790e-06	9.059906e-06	2.789497e-05	5.006790e-06
64	256	6.198883e-06	2.288818e-05	4.696846e-05	8.821487e-06
128	256	5.960464e-06	4.291534e-05	8.010864e-05	1.502037e-05
256	256	6.198883e-06	8.392334e-05	1.449585e-04	2.813339e-05
512	256	7.152557e-06	1.637936e-04	2.741814e-04	5.507469e-05
1024	256	6.914139e-06	3.268719e-04	4.532337e-04	1.358986e-04
2048	256	7.152557e-06	6.859303e-04	8.759499e-04	4.909039e-04
4096	256	6.914139e-06	1.838923e-03	1.662016e-03	1.196146e-03
8192	256	7.152557e-06	3.138065e-03	3.185987e-03	2.526045e-03
1	512	5.960464e-06	0.000000e+00	1.597404e-05	1.907349e-06
2	512	5.006790e-06	9.536743e-07	1.692772e-05	1.907349e-06
4	512	5.006790e-06	1.907349e-06	1.883507e-05	1.907349e-06
8	512	5.006790e-06	5.006790e-06	2.288818e-05	4.053116e-06
16	512	5.960464e-06	9.059906e-06	3.099442e-05	5.006790e-06
32	512	5.960464e-06	2.408028e-05	4.887581e-05	8.821487e-06
64	512	6.198883e-06	4.291534e-05	8.106232e-05	1.502037e-05
128	512	7.867813e-06	8.392334e-05	1.471043e-04	2.884865e-05
256	512	6.914139e-06	1.640320e-04	2.739429e-04	5.578995e-05
512	512	1.502037e-05	3.290176e-04	4.549026e-04	1.351833e-04
1024	512	7.152557e-06	6.690025e-04	8.430481e-04	4.789829e-04
2048	512	7.152557e-06	1.847982e-03	1.635075e-03	1.190186e-03
4096	512	6.914139e-06	3.144026e-03	3.146887e-03	2.515078e-03
8192	512	7.152557e-06	6.313086e-03	6.150961e-03	5.064964e-03
1	1024	5.960464e-06	9.536743e-07	1.788139e-05	1.907349e-06
2	1024	6.914139e-06	2.861023e-06	1.883507e-05	1.907349e-06
4	1024	5.960464e-06	5.006790e-06	2.384186e-05	2.861023e-06
8	1024	6.198883e-06	9.059906e-06	3.194809e-05	5.006790e-06
16	1024	7.152557e-06	2.312660e-05	5.102158e-05	8.821487e-06
32	1024	6.914139e-06	4.410744e-05	8.296967e-05	1.597404e-05
64	1024	6.914139e-06	8.606911e-05	1.459122e-04	2.908707e-05
128	1024	7.867813e-06	1.661777e-04	2.760887e-04	5.507469e-05
256	1024	5.960464e-06	3.290176e-04	4.549026e-04	1.358986e-04
512	1024	8.106232e-06	6.990433e-04	8.399487e-04	4.761219e-04
1024	1024	7.867813e-06	1.882076e-03	1.662970e-03	1.200914e-03
2048	1024	8.106232e-06	3.156900e-03	3.153086e-03	2.506971e-03
4096	1024	5.197525e-05	6.273031e-03	6.189823e-03	5.048037e-03
8192	1024	7.867813e-06	1.281595e-02	1.225209e-02	1.017118e-02
1	2048	5.960464e-06	2.861023e-06	2.098083e-05	2.145767e-06
2	2048	8.106232e-06	5.006790e-06	2.408028e-05	2.861023e-06
4	2048	7.152557e-06	1.096725e-05	3.290176e-05	5.006790e-06
8	2048	8.106232e-06	2.288818e-05	5.102158e-05	8.821487e-06
16	2048	9.059906e-06	4.482269e-05	8.511543e-05	1.597404e-05
32	2048	9.059906e-06	8.797646e-05	1.509190e-04	2.884865e-05
64	2048	9.059906e-06	1.749992e-04	2.799034e-04	5.578995e-05
128	2048	9.059906e-06	3.530979e-04	4.649162e-04	1.380444e-04
256	2048	8.821487e-06	7.028580e-04	8.499622e-04	4.799366e-04
512	2048	4.506111e-05	1.903057e-03	1.621008e-03	1.169920e-03
1024	2048	9.059906e-06	3.262997e-03	3.154993e-03	2.475977e-03
2048	2048	9.059906e-06	6.479025e-03	6.273985e-03	5.036116e-03
4096	2048	5.197525e-05	1.246691e-02	1.206088e-02	1.007199e-02
8192	2048	8.106232e-06	2.501321e-02	2.390385e-02	2.020693e-02
1	4096	1.001358e-05	5.006790e-06	2.980232e-05	2.861023e-06
2	4096	1.001358e-05	1.001358e-05	3.886223e-05	5.006790e-06
4	4096	1.001358e-05	2.479553e-05	5.602837e-05	8.821487e-06
8	4096	1.096725e-05	4.601479e-05	8.893013e-05	1.597404e-05
16	4096	1.001358e-05	8.797646e-05	1.528263e-04	3.099442e-05
32	4096	1.096725e-05	1.721382e-04	2.818108e-04	5.507469e-05
64	4096	1.096725e-05	3.409386e-04	4.651546e-04	1.370907e-04
128	4096	1.096725e-05	6.949902e-04	8.428097e-04	4.761219e-04
256	4096	5.412102e-05	1.963854e-03	1.666069e-03	1.233101e-03
512	4096	1.096725e-05	3.231049e-03	3.156900e-03	2.533913e-03
1024	4096	1.096725e-05	6.584883e-03	6.228924e-03	5.115032e-03
2048	4096	1.192093e-05	1.320291e-02	1.224804e-02	1.015496e-02
4096	4096	1.096725e-05	2.651095e-02	2.434397e-02	2.022004e-02
8192	4096	5.507469e-05	5.061793e-02	4.807210e-02	4.054499e-02
1	8192	1.382828e-05	1.096725e-05	4.696846e-05	5.006790e-06
2	8192	1.502037e-05	2.384186e-05	6.318092e-05	8.821487e-06
4	8192	1.502037e-05	4.506111e-05	9.703636e-05	1.597404e-05
8	8192	1.597404e-05	8.702278e-05	1.609325e-04	2.884865e-05
16	8192	1.502037e-05	1.730919e-04	2.880096e-04	5.507469e-05
32	8192	1.502037e-05	3.459454e-04	4.739761e-04	1.330376e-04
64	8192	1.597404e-05	7.100105e-04	8.499622e-04	4.868507e-04
128	8192	1.502037e-05	1.880884e-03	1.646042e-03	1.176119e-03
256	8192	1.502037e-05	3.155947e-03	3.133059e-03	2.483845e-03
512	8192	5.888939e-05	6.594896e-03	6.149054e-03	5.051851e-03
1024	8192	1.597404e-05	1.322198e-02	1.228189e-02	1.019311e-02
2048	8192	1.621246e-05	2.695799e-02	2.457213e-02	2.034402e-02
4096	8192	5.984306e-05	5.019999e-02	4.796290e-02	4.035902e-02
8192	8192	5.912781e-05	1.000650e-01	9.659791e-02	8.109999e-02
