N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH	CT_HtD
1	1	5.006790e-06	0.000000e+00	1.621246e-05	1.907349e-06
2	1	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	1	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
8	1	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
16	1	4.768372e-06	0.000000e+00	1.692772e-05	9.536743e-07
32	1	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
64	1	4.768372e-06	0.000000e+00	1.597404e-05	9.536743e-07
128	1	5.006790e-06	0.000000e+00	1.597404e-05	1.907349e-06
256	1	4.053116e-06	0.000000e+00	1.478195e-05	9.536743e-07
512	1	5.960464e-06	9.536743e-07	1.502037e-05	1.192093e-06
1024	1	5.960464e-06	9.536743e-07	1.502037e-05	2.145767e-06
2048	1	4.053116e-06	2.861023e-06	1.788139e-05	3.099442e-06
4096	1	6.198883e-06	5.960464e-06	2.193451e-05	3.814697e-06
8192	1	5.006790e-06	1.311302e-05	3.099442e-05	7.867813e-06
1	2	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	2	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	2	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
8	2	5.960464e-06	0.000000e+00	1.597404e-05	1.192093e-06
16	2	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
32	2	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
64	2	5.006790e-06	0.000000e+00	1.597404e-05	1.192093e-06
128	2	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
256	2	5.960464e-06	9.536743e-07	1.502037e-05	9.536743e-07
512	2	5.006790e-06	1.907349e-06	1.597404e-05	1.907349e-06
1024	2	5.006790e-06	2.861023e-06	1.788139e-05	2.861023e-06
2048	2	6.198883e-06	6.914139e-06	2.193451e-05	5.006790e-06
4096	2	5.006790e-06	1.406670e-05	2.980232e-05	7.867813e-06
8192	2	7.152557e-06	3.099442e-05	4.792213e-05	8.821487e-06
1	4	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	4	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	4	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
8	4	5.006790e-06	0.000000e+00	1.502037e-05	1.907349e-06
16	4	5.006790e-06	0.000000e+00	1.502037e-05	9.536743e-07
32	4	5.960464e-06	0.000000e+00	1.502037e-05	1.192093e-06
64	4	5.006790e-06	0.000000e+00	1.502037e-05	1.192093e-06
128	4	5.960464e-06	0.000000e+00	1.597404e-05	2.145767e-06
256	4	5.960464e-06	9.536743e-07	1.597404e-05	1.907349e-06
512	4	6.198883e-06	2.145767e-06	1.811981e-05	2.861023e-06
1024	4	5.960464e-06	5.006790e-06	2.312660e-05	4.768372e-06
2048	4	5.960464e-06	1.096725e-05	3.099442e-05	7.867813e-06
4096	4	6.198883e-06	2.193451e-05	4.792213e-05	8.821487e-06
8192	4	5.960464e-06	4.601479e-05	8.082390e-05	1.597404e-05
1	8	5.960464e-06	0.000000e+00	1.692772e-05	9.536743e-07
2	8	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	8	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
8	8	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
16	8	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
32	8	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
64	8	5.960464e-06	9.536743e-07	1.597404e-05	1.907349e-06
128	8	4.053116e-06	9.536743e-07	1.907349e-05	1.907349e-06
256	8	5.006790e-06	1.907349e-06	1.597404e-05	2.861023e-06
512	8	1.001358e-05	4.768372e-06	2.217293e-05	5.006790e-06
1024	8	5.960464e-06	9.775162e-06	3.004074e-05	7.867813e-06
2048	8	5.006790e-06	2.312660e-05	4.792213e-05	9.059906e-06
4096	8	5.006790e-06	4.482269e-05	8.106232e-05	1.502037e-05
8192	8	5.960464e-06	8.511543e-05	1.561642e-04	2.884865e-05
1	16	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	16	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	16	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
8	16	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
16	16	5.006790e-06	0.000000e+00	1.597404e-05	1.907349e-06
32	16	5.960464e-06	9.536743e-07	1.502037e-05	1.907349e-06
64	16	5.006790e-06	9.536743e-07	1.597404e-05	1.907349e-06
128	16	5.006790e-06	1.907349e-06	1.883507e-05	2.861023e-06
256	16	5.960464e-06	5.006790e-06	2.288818e-05	4.053116e-06
512	16	5.960464e-06	1.001358e-05	3.004074e-05	7.867813e-06
1024	16	5.960464e-06	2.193451e-05	4.792213e-05	8.821487e-06
2048	16	5.960464e-06	4.410744e-05	8.106232e-05	1.597404e-05
4096	16	6.198883e-06	8.583069e-05	1.449585e-04	3.981590e-05
8192	16	1.406670e-05	1.699924e-04	2.949238e-04	5.602837e-05
1	32	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	32	2.145767e-06	0.000000e+00	1.502037e-05	1.192093e-06
4	32	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
8	32	5.006790e-06	0.000000e+00	1.502037e-05	9.536743e-07
16	32	5.960464e-06	0.000000e+00	1.502037e-05	1.907349e-06
32	32	5.006790e-06	9.536743e-07	1.597404e-05	9.536743e-07
64	32	4.053116e-06	1.907349e-06	1.788139e-05	1.907349e-06
128	32	5.960464e-06	5.006790e-06	2.217293e-05	3.814697e-06
256	32	5.960464e-06	9.059906e-06	3.099442e-05	5.006790e-06
512	32	6.198883e-06	2.288818e-05	4.887581e-05	9.059906e-06
1024	32	5.960464e-06	4.386902e-05	8.106232e-05	1.597404e-05
2048	32	6.914139e-06	8.511543e-05	1.449585e-04	3.004074e-05
4096	32	6.914139e-06	1.659393e-04	2.810955e-04	5.602837e-05
8192	32	5.960464e-06	3.440380e-04	4.730225e-04	1.480579e-04
1	64	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	64	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	64	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
